Ticker,Date,Surprise,Year,Month,Day,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,CIK
A,20160817,4.109589041,2016,7,17,Agilent Technologies Inc,Health Care,Health Care Equipment,Santa Clara; California,1090872
AAL,20161020,84.21052632,2016,9,20,American Airlines Group,Industrials,Airlines,Fort Worth; Texas,6201
AAP,20161114,-40.30433086,2016,10,14,Advance Auto Parts,Consumer Discretionary,Automotive Retail,Roanoke; Virginia,1158449
AAPL,20160726,-35.01144165,2016,6,26,Apple Inc.,Information Technology,Technology Hardware; Storage & Peripherals,Cupertino; California,320193
ABBV,20161028,-3,2016,9,28,AbbVie,Health Care,Pharmaceuticals,North Chicago; Illinois,1551152
ABC,20160802,7.586206897,2016,7,2,AmerisourceBergen Corp,Health Care,Health Care Distributors,Chesterbrook; Pennsylvania,1140859
ABT,20161019,-145.7142857,2016,9,19,Abbott Laboratories,Health Care,Health Care Equipment,North Chicago; Illinois,1800
ACN,20160623,-8.796895213,2016,5,23,Accenture plc,Information Technology,IT Consulting & Other Services,Dublin; Ireland,1467373
ADBE,20160920,-19.76225854,2016,8,20,Adobe Systems Inc,Information Technology,Application Software,San Jose; California,796343
ADI,20160817,6.017191977,2016,7,17,Analog Devices; Inc.,Information Technology,Semiconductors,Norwood; Massachusetts,6281
ADM,20161101,-19.88950276,2016,10,1,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,Decatur; Illinois,7084
ADP,20160428,-9.791827294,2016,3,28,Automatic Data Processing,Information Technology,Internet Software & Services,Roseland; New Jersey,8670
ADS,20161020,19.7301855,2016,9,20,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,Plano; Texas,1101215
ADSK,20151119,-33.56643357,2015,10,19,Autodesk Inc,Information Technology,Application Software,San Rafael; California,769397
AEE,20161104,347.0588235,2016,10,4,Ameren Corp,Utilities,Multi-Utilities,St. Louis; Missouri,1002910
AEP,20161101,-258.3756345,2016,10,1,American Electric Power,Utilities,Electric Utilities,Columbus; Ohio,4904
AES,20161104,2.362204724,2016,10,4,AES Corp,Utilities,Independent Power Producers & Energy Traders,Arlington; Virginia,874761
AET,20161027,-25.50394391,2016,9,27,Aetna Inc,Health Care,Managed Health Care,Hartford; Connecticut,1122304
AFL,20161027,-10.52631579,2016,9,27,AFLAC Inc,Financials,Life & Health Insurance,Columbus; Georgia,4977
AIG,20161102,-70.67463106,2016,10,2,American International Group; Inc.,Financials,Property & Casualty Insurance,New York; New York,5272
AIV,20161027,-36.36363636,2016,9,27,Apartment Investment & Mgmt,Real Estate,Residential REITs,Denver; Colorado,922864
AIZ,20161025,23.4375,2016,9,25,Assurant Inc,Financials,Multi-line Insurance,New York; New York,1267238
